CharacterID,CharacterName,MBTI,AnimeID
207,Mirajane Strauss,ENFJ,47
208,Naruto Uzumaki,ENFP,0
209,Obito Uchiha,ENFP,0
210,Jiraiya,ENFP,0
211,Mello,ENFP,4
212,Josuke Higashikata,ENFP,9
213,Misato Katsuragi,ENFP,12
214,Reki Kyan,ENFP,14
215,Kaede Kayano,ENFP,15
216,Momiji Sohma,ENFP,18
217,Euphemia li Britannia,ENFP,21
218,Puck,ENFP,23
219,Chika Fujiwara,ENFP,26
220,Chitanda Eru,ENFP,28
221,Pikachu,ENFP,30
222,Jigglypuff,ENFP,30
223,Howl Jenkins,ENFP,33
224,Chrome,ENFP,36
225,Suika,ENFP,36
226,Usagi Tsukino (Sailor Moon),ENFP,37
227,Subaru Natsuki,ENFP,38
228,"Mitsukuni ""Honey"" Haninozuka",ENFP,44
229,Renge Houshakuji,ENFP,44
230,Miku,ENFP,45
231,Happy,ENFP,47
232,Italy,ENFP,48
233,Spain,ENFP,48
234,Neji Hyūga,ISTJ,0
235,Tobirama Senju,ISTJ,0
236,Fumikage Tokoyami “Tsukuyomi”,ISTJ,1
237,Mikasa Ackerman,ISTJ,2
238,Illumi Zoldyck,ISTJ,3
239,Teru Mikami,ISTJ,4
240,Soichiro Yagami,ISTJ,4
241,Giyu Tomioka,ISTJ,5
242,Obanai Iguro,ISTJ,5
243,Doppo Kunikida,ISTJ,6
244,Kyoka Izumi,ISTJ,6
245,Yukichi Fukuzawa,ISTJ,6
246,Naoto Tachibana,ISTJ,7
247,Megumi Fushiguro,ISTJ,8
248,Kento Nanami,ISTJ,8
249,Yoshikage Kira,ISTJ,9
250,Tobio Kageyama,ISTJ,10
251,Rei Ayanami,ISTJ,12
252,Ritsuko Akagi,ISTJ,12
253,Langa Hasegawa,ISTJ,14
254,Kaoru Sakurayashiki,ISTJ,14
255,Tadashi Kikuchi,ISTJ,14
256,Tadaomi Karasuma,ISTJ,15
257,Sayaka Igarashi,ISTJ,17
258,Yuriko Nishinotouin,ISTJ,17
259,Hatori Sohma,ISTJ,18
260,Koutarou Amon,ISTJ,22
261,Casca,ISTJ,23
262,Farnese de Vandimion,ISTJ,23
263,Riza Hawkeye,ISTJ,25
264,Scar,ISTJ,25
265,Miko Iino,ISTJ,26
266,Aki Hayakawa,ISTJ,27
267,Toshiro Hitsugaya,ISTJ,29
268,Byakuya Kuchiki,ISTJ,29
269,Uryu Ishida,ISTJ,29
270,Rukia Kuchiki,ISTJ,29
271,Bulbasaur,ISTJ,30
272,Setsuna Meioh (Sailor Pluto),ISTJ,37
273,Ram,ISTJ,38
274,Suzune Horikita,ISTJ,40
275,Louis Moriarty,ISTJ,43
276,Lestrade,ISTJ,43
277,Haruhi Fujioka,ISTJ,44
278,Germany,ISTJ,48
279,Shiho Kimizuki,ISTJ,49
280,Zabuza Momochi,ISTP,0
281,Levi Ackerman,ISTP,2
282,Ymir,ISTP,2
283,Annie Leonhart,ISTP,2
284,Akiko Yosano,ISTP,6
285,Toji Fushiguro,ISTP,8
286,Jotaro Kujo,ISTP,9
287,Hajime Iwaizumi,ISTP,10
288,Yuugo,ISTP,11
289,Roronoa Zoro,ISTP,13
290,Kyo Sohma,ISTP,18
291,Android 18,ISTP,20
292,Touka Kirishima,ISTP,22
293,Guts,ISTP,23
294,Kishibe,ISTP,27
295,Greninja,ISTP,30
296,Shouya Ishida,ISTP,32
297,Minene Uryuu,ISTP,35
298,Kohaku,ISTP,36
299,Haruka Tenoh (Sailor Uranus),ISTP,37
300,Ash Lynx,ISTP,42
301,Takashi “Mori” Morinozuka,ISTP,44
302,Gray Fullbuster,ISTP,47
303,Gajeel Redfox,ISTP,47
304,Wendy Marvell,ISTP,47
305,Hinata Hyuga,ISFJ,0
306,Kimimaro Kaguya,ISFJ,0
307,Momo Yaoyorozu “Creati”,ISFJ,1
308,Nezuko Kamado,ISFJ,5
309,Gilda,ISFJ,11
310,Tony Tony Chopper,ISFJ,13
311,Okuda Manami,ISFJ,15
312,Ryota Suzui,ISFJ,17
313,Madoka Kaname,ISFJ,19
314,Krillin,ISFJ,20
315,Suzaku Kururugi,ISFJ,21
316,Sophie Hatter,ISFJ,33
317,Yuzuriha Ogawa,ISFJ,36
318,Ami Mizuno (Sailor Mercury),ISFJ,37
319,Rem,ISFJ,38
320,Eiji Okumura,ISFJ,42
321,Ichigo,ISFJ,45
322,Sasuke Uchiha,ISFP,0
323,Chōji Akimichi,ISFP,0
324,Eren Yeager,ISFP,2
325,Zenitsu Agatsuma,ISFP,5
326,Ryunosuke Akutagawa,ISFP,6
327,Takemichi Hanagaki,ISFP,7
328,Kazutora Hanemiya,ISFP,7
329,Yuji Itadori,ISFP,8
330,Asahi Azumane,ISFP,10
331,Kallen Kozuki,ISFP,21
332,Rolo Lamperouge,ISFP,21
333,Uta,ISFP,22
334,Nene,ISFP,24
335,Ibara Mayaka,ISFP,28
336,Ichigo Kurosaki,ISFP,29
337,Eevee,ISFP,30
338,Haru,ISFP,39
339,Ai Ohto,ISFP,41
340,Futoshi,ISFP,45
341,Canada,ISFP,48
342,Yuichiro Hyakuya,ISFP,49
343,Shoto Todoroki,INTJ,1
344,Kurapika,INTJ,3
345,Meruem,INTJ,3
346,Near,INTJ,4
347,Shinobu Kocho,INTJ,5
348,Fyodor Dostoevsky,INTJ,6
349,Tetta Kisaki,INTJ,7
350,Giorno Giovanna,INTJ,9
351,Rohan Kishibe,INTJ,9
352,Kei Tsukishima,INTJ,10
353,Gendo Ikari,INTJ,12
354,Trafalgar D. Law,INTJ,13
355,Kaede Manyuda,INTJ,17
356,Homura Akemi,INTJ,19
357,Piccolo Jr. (The Nameless Namekian),INTJ,20
358,Lelouch vi Britannia,INTJ,21
359,Kishou Arima,INTJ,22
360,Schierke,INTJ,23
361,Kaguya Shinomiya,INTJ,26
362,Oreki Houtarou,INTJ,28
363,Mewtwo,INTJ,30
364,Heinrich Lunge,INTJ,31
365,Deus Ex Machina,INTJ,35
366,Mamoru Chiba (Tuxedo Mask),INTJ,37
367,Kiyotaka Ayanokoji,INTJ,40
368,Neiru Aonuma,INTJ,41
369,Yut-Lung Lee,INTJ,42
370,William James Moriarty,INTJ,43
371,Kyouya Ootori,INTJ,44
372,Ritsu Kageyama,INTJ,46
373,Tsubomi Takane,INTJ,46
374,England,INTJ,48
375,Kakashi Hatake,INTP,0
376,Shikamaru Nara,INTP,0
377,Tsuyu Asui “Froppy”,INTP,1
378,Killua Zoldyck,INTP,3
379,L Lawliet,INTP,4
380,Ranpo Edogawa,INTP,6
381,"Manjirou ""Mikey"" Sano",INTP,7
382,Toge Inumaki,INTP,8
383,Johnny Joestar,INTP,9
384,Ray,INTP,11
385,Nico Robin,INTP,13
386,Saiki Kusuo,INTP,16
387,Saiki Kuriko,INTP,16
388,C.C.,INTP,21
389,Serpico,INTP,23
390,Yu Ishigami,INTP,26
391,Asa Mitaka,INTP,27
392,Angel Devil,INTP,27
393,Yuzuru Nishimiya,INTP,32
394,Senku Ishigami,INTP,36
395,Beatrice,INTP,38
396,Ikuno,INTP,45
397,Itachi Uchiha,INFJ,0
398,Izuku Midoriya,INFJ,1
399,Armin Arlert,INFJ,2
400,Chrollo Lucilfer,INFJ,3
401,Watari,INFJ,4
402,Takashi Mitsuya,INFJ,7
403,Yuta Okkotsu,INFJ,8
404,Koushi Sugawara,INFJ,10
405,Norman,INFJ,11
406,James Ratri,INFJ,11
407,Kaworu Nagisa,INFJ,12
408,Nagisa Shiota,INFJ,15
409,Ririka Momobami,INFJ,17
410,Yuki Sohma,INFJ,18
411,Skull Knight,INFJ,23
412,Minamoto Teru,INFJ,24
413,Ai Hayasaka,INFJ,26
414,Johan Liebert,INFJ,31
415,Shouko Komi,INFJ,34
416,Yuno Gasai,INFJ,35
417,Hotaru Tomoe (Sailor Saturn),INFJ,37
418,Michiru Kaioh (Sailor Neptune),INFJ,37
419,Emilia,INFJ,38
420,Riz,INFJ,39
421,Momoe Sawaki,INFJ,41
422,Albert Moriarty,INFJ,43
423,Kaoru Hitachiin,INFJ,44
424,Hiro,INFJ,45
425,Japan,INFJ,48
426,Mikaela Hyakuya,INFJ,49
427,Sakumo Hatake,INFP,0
428,Rem,INFP,4
429,Mitsuri Kanroji,INFP,5
430,Muichiro Tokito,INFP,5
431,Atsushi Nakajima,INFP,6
432,Chifuyu Matsuno,INFP,7
433,Shinji Ikari,INFP,12
434,Kaidou Shun,INFP,16
435,Akito Sohma,INFP,18
436,Gohan,INFP,20
437,Nina Einstein,INFP,21
438,Kaneki Ken,INFP,22
439,Hinami Fueguchi,INFP,22
440,Mitsuba,INFP,24
441,Alphonse Elric,INFP,25
442,Dr. Kenzo Tenma,INFP,31
443,Kaede Otori,INFP,34
444,Yukiteru Amano,INFP,35
445,Legoshi,INFP,39
446,Airi Sakura,INFP,40
447,Kokoro,INFP,45
448,"Shigeo ""Mob"" Kageyama",INFP,46
449,Juvia Lockser,INFP,47
450,Russia,INFP,48
